,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
475,1.3141024313148713,1.5273857108311362,1.5813101017363773,1.7409596120528739,-0.14510458180724684,-0.04756967947687611,0.18428698036882998,-0.11166919902631134,1.9713604910820384,2.3518691872237385,-0.41010986315849063,-0.6449952194381827,1.464731260474187,1.9703304436005664,-0.4668354870500912,0.6599421407683209,1.7179347293566782,1.5222149371397127,2.6906922775943296,0.8816138372658795,-0.30617206446829515,3.256439384652129,1.7630326963795395,1.4627763969596352
476,0.4784720979434039,0.7560131610597561,0.5137589782012701,0.6486323379059413,-0.27378487847604077,1.3312616097079355,1.2313720961008192,0.657183310888939,-0.05746511444854209,0.07918509825766024,-0.3452532690902,0.20702815606725825,-0.09365137555570095,-0.21339888247604183,0.7643391081905557,-0.8282422685083358,-0.12486354358475883,-0.35695731004471454,0.4325882201479433,-0.41031734278376786,-0.5714858118411678,-0.038316794078571706,0.6390080254330689,0.5350653460951507
477,1.1666382548375536,0.9602000124698274,0.4692776813873075,0.6696386316395362,-0.4141633839329069,0.526943357683462,0.8387151777013235,0.012054193373843973,0.3263667568680543,0.3483187403720643,-0.08582689281703733,-0.4150841498573495,0.9452703817975577,0.7571474846691175,0.8096981722257375,-0.557663285003489,0.042663572137189895,-0.14341500922830236,1.5078758665509846,0.6232276012559501,1.0203966723960687,0.5718232390197063,0.7795111093013772,0.6150404366869165
478,0.6750909999131609,-0.3329833797939575,-0.06449788038024605,-0.5067138174417751,2.288122846111764,-1.1965957537975522,-1.2990836002514883,-2.745209980115329,0.49086613028945264,0.16889631229579483,1.3950653384089315,1.735260559751619,0.12897471530571164,0.45385174493625524,-0.7519496038426624,2.2834160417974014,1.1595110102835153,1.6076318574662773,-0.9115213378558581,-0.9270898148036268,3.1429066513790507,-0.4044008139375386,1.4820265286429215,-0.1847104692307425
479,-1.0944791178146525,-1.558104488254385,-1.2210115975432787,-1.1789152169168102,-1.1628487463695256,-0.6220827166372143,-0.6446554029189949,0.1357775857739993,-1.2089607283983308,-1.236579374301648,-0.6587268070869376,-0.5638501360567122,-0.9099470420475471,-0.8806495098883389,-1.3027382385555832,-1.0988212520131824,-1.4650804693603496,-1.4246688141267754,-0.96528572017601,-1.4438622868234858,-0.8367995592140406,-1.2585968602751278,-1.7495444003281821,-1.1604065744502865
480,-0.06222988247342802,0.38167060014129206,-0.15346047400817153,-0.1706131177042575,0.07716138516612456,-0.2773748943410113,-0.0774842985641674,-0.058644887997673346,-0.05746511444854209,-0.16004480584403213,0.5411201831764378,0.01768962817716024,-0.1678600725095052,-0.09208058658289694,-0.06508377702419613,0.11878417375862768,-0.2365482873993915,-0.10070654906501988,-0.3738775146543375,-0.15193110677383845,-0.5714858118411678,-0.038316794078571706,0.21749877382814187,-0.1687154511123891
481,1.068328803852675,1.255136575617708,1.3589036176665634,1.3628463248481661,0.1122560115303411,1.3312616097079355,1.1004864566343207,0.7278823922604564,1.094030499501247,1.1856234047279877,-0.10744575750646755,0.26112487832157194,0.4258095031209283,0.8178066326156901,-0.6806710746445196,0.3893631572634743,0.21019068785913864,0.283669592404522,0.056237543906879066,0.8816138372658795,0.7550829250231956,0.44979523240005065,0.6390080254330689,1.2548411614210437
482,-1.5860263727390451,-1.172418213368695,-0.909642519845539,-0.905833398380077,-0.35567233999254605,-0.6220827166372143,-0.6882839494078278,0.3125252892027921,-0.8251288570817347,-0.8179270421236863,-0.39930043081377553,-0.32041488591230044,-0.3162774664171135,-0.03142143863632444,-1.270338907101882,-0.9635317602607589,-0.9624991221945031,-1.083001132820516,-0.4814062792946416,-0.9270898148036268,-0.8367995592140406,-0.6484568271768499,-1.1875320648549466,-0.8245111939648696
483,-1.340252745276849,0.6652634493219466,0.4247963845733449,0.9007078627090798,-0.987375614548443,0.2971381428193268,0.620572445257159,-0.1646935100549493,0.38119988134185384,0.8267785485754491,-1.1127229655649722,-1.307680067053525,1.0194790787513617,1.3030798161882695,-0.24652003316492324,-0.15179480974621895,-0.34823303121402416,-0.31424884988143204,0.9702320433494639,0.8816138372658795,-0.04085831709542232,1.548047291976951,0.6390080254330689,0.5670553823318571
484,1.264947705822432,0.40435802807574434,-0.33138566126402264,-0.4016823487738009,0.21753989062299003,0.41204075025139425,0.18428698036882998,0.8869553253463698,-0.6057963591865366,-0.6684083520601286,0.49788245379757745,0.9914306287548056,-0.2420687694633093,-0.39537632631575925,1.075372690146088,-0.15179480974621895,-0.12486354358475883,-0.10070654906501988,-0.5889350439349457,-0.41031734278376786,0.7550829250231956,-0.4044008139375386,0.9200141931696862,-0.24869054170415514
485,-0.11138460796586729,0.12076517889508978,-0.19794177082213435,-0.21262570517144722,0.0537649675899802,-0.2773748943410113,-0.20836993803066597,0.2506635930027149,-0.16713136339614088,-0.16004480584403213,0.14117118642197998,0.01768962817716024,-0.6131122542323303,-0.4560354742623316,-1.2573791745204015,0.7952316325207444,0.042663572137189895,0.283669592404522,0.056237543906879066,0.6232276012559501,-0.5714858118411678,-0.282372807317883,-0.06350739390847579,-0.31267061417756775
486,0.23269847048120756,-0.7413570826140998,-0.5537921453338366,-0.38067605504020596,-0.7651096475750716,-0.392277501773079,-0.5137697634524961,0.4627608371172664,-0.44129698576513826,-0.1899485438567437,-1.2856738830804135,-1.023672275218378,-0.1678600725095052,-0.27405803042261434,0.7772988407720363,-0.8282422685083358,-0.9066567502871867,-0.9548757523306686,-0.10505560305357724,-0.41031734278376786,-0.8367995592140406,-0.4044008139375386,-1.1875320648549466,-0.4886158134794529
487,-1.6843358237239237,0.44973288394464933,-0.10897917719420869,-0.31765717383942144,0.8492431651788876,-0.16247228690894372,-0.5573983099413291,1.8237181535189737,-0.05746511444854209,-0.07033359180589753,0.11955232173254977,1.0725757121362762,0.27739210921331997,0.3325334490431102,-0.045644178151975356,0.11878417375862768,0.09850594404450622,0.11283575175139209,-0.6426994262550978,-0.41031734278376786,0.22445543027745035,-0.282372807317883,-0.20401047777678447,-0.05675032428391694
